title,link,published,summary
"Yes, you should time the markets! Shankar Sharma explains when",https://economictimes.indiatimes.com/markets/stocks/news/yes-you-should-time-the-markets-shankar-sharma-explains-when/articleshow/125504247.cms,"Sat, 22 Nov 2025 16:33:31 +0530","Shankar Sharma, founder of GQuant FinXray, argues that timing the macro cycle is essential for investment success, stating that most returns are driven by market trends. He points to the 2014-2020 period as an example of poor returns due to a lack of macro tailwinds, with significant gains only occurring in the last 4-5 years."
10 lakh shares to unlock Monday in this Sunil Singhania-backed stock. Smallcap down 24% from IPO price,https://economictimes.indiatimes.com/markets/ipos/fpos/10-lakh-shares-to-unlock-monday-in-this-sunil-singhania-backed-stock-smallcap-down-24-from-ipo-price/articleshow/125502983.cms,"Sat, 22 Nov 2025 15:03:37 +0530",Mangal Electrical Industries' shareholder lock-in is expected to end soon. This could see nearly ten lakh shares become available for trading. The company manufactures components for transformers. Its shares have seen a decline since its market debut. Anchor investors include Abakkus Diversified Alpha Fund and Societe Generale. The company reported a profit fall in its September quarter results.
Rs 23 lakh crore boom! PMS and AIFs power India’s alternate investment transformation,https://economictimes.indiatimes.com/markets/stocks/news/rs-23-lakh-crore-boom-pms-and-aifs-power-indias-alternate-investment-transformation/articleshow/125502858.cms,"Sat, 22 Nov 2025 14:57:58 +0530","India's alternative investment sector is booming, with PMS and AIFs now managing over Rs 23.43 lakh crore. This remarkable growth, fueled by institutional investors and affluent individuals seeking alpha, has seen PMS assets surge sevenfold and AIF commitments skyrocket by nearly 50% annually.  These investment avenues are becoming mainstream for wealth management."
"Corporate actions: HDFC AMC, Thyrocare Technologies shares to trade ex-bonus next week. Check details",https://economictimes.indiatimes.com/markets/stocks/news/corporate-actions-hdfc-amc-thyrocare-technologies-shares-to-trade-ex-bonus-next-week-check-details/articleshow/125502814.cms,"Sat, 22 Nov 2025 14:53:07 +0530",HDFC Asset Management Company and Thyrocare Technologies will trade ex-bonus next week. Record dates are set for November 26 and November 28. HDFC AMC offers a 1:1 bonus share. Thyrocare Technologies provides a 2:1 bonus issue. These events will determine shareholder eligibility for bonus shares. Investors should note these upcoming dates.
Gold prices gain 1% in a volatile week. What’s in it for investors starting Monday?,https://economictimes.indiatimes.com/markets/commodities/news/gold-prices-gain-1-in-a-volatile-week-whats-in-it-for-investors-starting-monday/articleshow/125501942.cms,"Sat, 22 Nov 2025 13:37:49 +0530","Gold prices have shown resilience this week, ending with a modest gain. The Indian Rupee's record low against the Dollar is creating new challenges for traders. Experts anticipate continued volatility in the coming week. Gold is expected to trade within a specific range. Strong US jobs data has reduced expectations for a December Federal Reserve rate cut, impacting global sentiment."
Why Motilal Oswal AMC is doubling down on big banks as margins improve,https://economictimes.indiatimes.com/markets/expert-view/why-motilal-oswal-amc-is-doubling-down-on-big-banks-as-margins-improve/articleshow/125501446.cms,"Sat, 22 Nov 2025 12:54:07 +0530","Motilal Oswal Asset Management is strategically overweighting large private banks, anticipating improved net interest margins, reduced credit costs, and strong credit growth. Executive Director Akhil Chaturvedi highlights the sector's readiness to outperform after years of underperformance, driven by strengthening balance sheets and accelerating earnings momentum."
"Bitcoin hits seven-month low, tumbles below $82,000. What’s next for investors?",https://economictimes.indiatimes.com/markets/cryptocurrency/bitcoin-hits-seven-month-low-tumbles-below-82000-whats-next-for-investors/articleshow/125501349.cms,"Sat, 22 Nov 2025 12:47:55 +0530","Bitcoin plunged to a seven-month low near $80,000, mirroring a broader market retreat from riskier assets due to stretched tech valuations and interest rate uncertainty. Analysts warn of steeper losses if the $82,000 support breaks, though some see signs of dip-buying. Ether also experienced significant declines."
DRA Homes readies for IPO as real estate pipeline builds; First Realty firm to rollout ESOP ahead of listing plans,https://economictimes.indiatimes.com/markets/ipos/fpos/dra-homes-readies-for-ipo-as-real-estate-pipeline-builds-first-realty-firm-to-rollout-esop-ahead-of-listing-plans/articleshow/125501312.cms,"Sat, 22 Nov 2025 12:44:49 +0530","DRA Homes is preparing for a public listing within three years, joining a trend of real estate firms tapping capital markets. The company has launched a ₹125 crore employee stock ownership program, granting 5% ownership to 325 employees. This move aims to strengthen governance and align stakeholders as DRA Homes targets expansion and a wider national presence."
"FII selling moderates to Rs 3,788 crore in Nov so far, 2025 outflows at Rs 1.43 lakh cr. These 3 trends to suggest reversal",https://economictimes.indiatimes.com/markets/stocks/news/fii-selling-moderates-to-rs-3788-crore-in-nov-so-far-2025-outflows-at-rs-1-43-lakh-cr-these-3-trends-to-suggest-reversal/articleshow/125501097.cms,"Sat, 22 Nov 2025 12:27:55 +0530","Foreign investors continue to sell Indian shares.  November saw outflows of Rs 3,788 crore.  This follows significant selling throughout 2025.  Experts note improved sentiment but tentative flows.  Valuations and earnings clarity are key concerns.  Investors await earnings growth to catch up before increasing exposure.  Year-end portfolio rebalancing will offer clues."
"IndusInd Bank at 1x book; buy, but be patient; focus on value &amp; structural triggers: Sudip Bandyopadhyay’s market playbook",https://economictimes.indiatimes.com/markets/expert-view/indusind-bank-at-1x-book-buy-but-be-patient-focus-on-value-structural-triggers-sudip-bandyopadhyays-market-playbook/articleshow/125500522.cms,"Sat, 22 Nov 2025 12:00:41 +0530","Indian markets remain volatile, but opportunities are emerging across banking, autos, digital platforms, and consumption themes, says Sudip Bandyopadhyay of Inditrade Capital. He sees value in IndusInd Bank, Reliance, M&amp;M, Mahindra Lifespaces and select PSU banks, while urging caution on Asian Paints, IT majors and richly valued new-age listings. Read his full market outlook and sector strategy."
Rich Dad Poor Dad author Robert Kiyosaki’s latest wealth move involves selling Bitcoin. What’s your ‘Get Rich’ plan?,https://economictimes.indiatimes.com/markets/cryptocurrency/rich-dad-poor-dad-author-rober-kiyosakis-latest-wealth-move-involves-selling-bitcoin-whats-your-get-rich-plan/articleshow/125500697.cms,"Sat, 22 Nov 2025 11:59:37 +0530","Rich Dad Poor Dad author Robert Kiyosaki sold $2.25 million in Bitcoin, bought at $6,000 per coin, for approximately $90,000. He's reinvesting this into two surgery centers and a billboard business, expecting significant monthly income. Kiyosaki views this as a strategic move to acquire income-generating assets with tax advantages, not an exit from Bitcoin."
Concurrent Losers: 14 midcap stocks decline for 5 consecutive sessions,https://economictimes.indiatimes.com/markets/stocks/news/concurrent-losers-14-midcap-stocks-decline-for-5-consecutive-sessions/slideshow/125500636.cms,"Sat, 22 Nov 2025 11:43:56 +0530","During this period, 14 stocks from the BSE Midcap index fell in all five consecutive sessions."
"New IPO trap? 7 most retail-heavy subscribed issues of the last 3 months in red, sink up to 36%",https://economictimes.indiatimes.com/markets/ipos/fpos/new-ipo-trap-7-most-retail-heavy-subscribed-issues-of-the-last-3-months-in-red-sink-up-to-36/slideshow/125500481.cms,"Sat, 22 Nov 2025 11:33:59 +0530","Despite strong listing-day sentiment, many of these issues have since slipped sharply below their issue prices, raising concerns about whether retail euphoria is masking deeper risks."
India rises to Global Top 10 in branded residences: Savills Report,https://economictimes.indiatimes.com/markets/digital-real-estate/realty-news/india-rises-to-global-top-10-in-branded-residences-savills-report/articleshow/125500280.cms,"Sat, 22 Nov 2025 11:27:48 +0530",India is now a major force in the global branded residences market. The country ranks among the top ten worldwide for branded residential projects. This growth is driven by rising wealth and demand for luxury. New trends like branded weekend homes and expansion beyond hotels are shaping the market. India's influence in global luxury living is set to grow significantly.
"Rupee breaches 89, FPI sentiment hit: Ajay Bagga  warns of volatile days ahead",https://economictimes.indiatimes.com/markets/expert-view/rupee-breaches-89-fpi-sentiment-hit-ajay-bagga-warns-of-warns-of-volatile-days-ahead/articleshow/125500164.cms,"Sat, 22 Nov 2025 11:20:26 +0530","Indian markets remain near record highs, but a sharp rupee fall and global volatility have raised red flags, says market expert Ajay Bagga. He warns that RBI’s absence during the currency slide could hurt FPI sentiment and delay rate cuts. A US–India trade deal remains the biggest potential trigger, while private-sector banks continue to look attractive"
Wild ride on Wall Street as the crypto crash spooks risk complex,https://economictimes.indiatimes.com/markets/stocks/news/wild-ride-on-wall-street-as-the-crypto-crash-spooks-risk-complex/articleshow/125499303.cms,"Sat, 22 Nov 2025 10:20:32 +0530","Markets showed signs of strain this week. Risky trades like crypto and AI stocks saw sharp declines. This sudden sell-off and quick recovery highlighted how fragile the current market cycle has become. Investors are now more cautious, seeking protection against potential downturns. Even strong earnings from companies like Nvidia could not prevent broader market jitters."
"Fundamental stock picks: Radhakishan Damani-owned Dmart, Nestle among 8 stocks that offer up to 23% upside",https://economictimes.indiatimes.com/markets/stocks/news/fundamental-stock-picks-radhakishan-damani-owned-dmart-nestle-among-8-stocks-that-offer-up-to-23-upside/slideshow/125499462.cms,"Sat, 22 Nov 2025 10:06:14 +0530",The stocks offer up to 23% upside. Check the stocks and reasons to buy.
Ashish Dhawan's stock picks struggle: 5 stocks tumble up to 70% in CY25 — Do you own any?,https://economictimes.indiatimes.com/markets/stocks/news/ashish-dhawans-stock-picks-struggle-5-stocks-tumble-up-to-70-in-cy25-do-you-own-any/slideshow/125499261.cms,"Sat, 22 Nov 2025 09:49:08 +0530","These investments represent positions where his stake exceeds 1%. A closer look at these holdings shows that seven stocks delivered negative returns, five of them have declined between 20% and 70% so far in calendar year 2025."
"IPO Calendar: After raising nearly Rs 31,000 crore in November, primary market to take a breather next week",https://economictimes.indiatimes.com/markets/ipos/fpos/ipo-calendar-primary-market-momentum-takes-a-break-with-only-sme-issues-scheduled-next-week/articleshow/125499098.cms,"Sat, 22 Nov 2025 09:45:29 +0530","The Indian primary market is taking a brief pause. After a busy period of mainboard IPOs, the coming week will be quieter. No large company offerings are scheduled. However, three Small and Medium Enterprise (SME) issues will open for subscription. This keeps the market active."
5 world market themes for the week ahead,https://economictimes.indiatimes.com/markets/stocks/news/5-world-market-themes-for-the-week-ahead/articleshow/125499023.cms,"Sat, 22 Nov 2025 09:38:43 +0530","Global markets face a busy week with key events including the G20 summit, the UK budget announcement, and Alibaba's earnings report. U.S. consumer spending will be under scrutiny with Black Friday sales, while Bitcoin's recent decline and a technical 'death cross' signal potential further losses."
Black Friday puts focus on consumer spending for rocky markets,https://economictimes.indiatimes.com/markets/stocks/news/black-friday-puts-focus-on-consumer-spending-for-rocky-markets/articleshow/125498997.cms,"Sat, 22 Nov 2025 09:35:53 +0530","Investors are closely watching U.S. consumer spending this week, especially Black Friday sales, as the stock market faces a grim November. With limited recent data due to a government shutdown, early holiday shopping signals will be crucial for assessing the economy's health and potential Federal Reserve rate decisions."
"BOJ close to raising rates, board member Masu says -Nikkei",https://economictimes.indiatimes.com/markets/stocks/news/boj-close-to-raising-rates-board-member-masu-says-nikkei/articleshow/125498936.cms,"Sat, 22 Nov 2025 09:28:30 +0530","The Bank of Japan is signaling a near-term interest rate hike, with a board member suggesting a decision is imminent and won't wait for next year's wage talks. This follows recent comments from the Governor, indicating growing momentum for an increase to address persistent inflation and normalize borrowing costs. The central bank aims to manage economic conditions effectively."
Bubble Trouble: AI rally shows cracks as investors question risks,https://economictimes.indiatimes.com/markets/stocks/news/bubble-trouble-ai-rally-shows-cracks-as-investors-question-risks/articleshow/125498891.cms,"Sat, 22 Nov 2025 09:24:54 +0530","Recent stock market swings reveal potential cracks in the artificial intelligence rally. High valuations in AI stocks are causing concern about a speculative bubble. Investors are watching for signs of a pullback. Comparisons are being made to past market manias. Valuations remain elevated, with risks around spending and capacity. Some leaders dismiss bubble fears, while others acknowledge potential impacts."
Bitcoin on thin ice after sinking in flight from risk,https://economictimes.indiatimes.com/markets/cryptocurrency/bitcoin-on-thin-ice-after-sinking-in-flight-from-risk/articleshow/125498865.cms,"Sat, 22 Nov 2025 09:22:44 +0530","Bitcoin has fallen to a seven-month low, nearing the $80,000 mark. This decline mirrors a wider sell-off in cryptocurrencies, driven by investor concerns over tech valuations and US interest rates. The market sentiment has turned fragile, impacting high-flying AI stocks. Bitcoin has erased its year-to-date gains, raising worries about further significant losses for the digital asset."
Jitters over AI spending set to grow as US tech giants flood bond market,https://economictimes.indiatimes.com/markets/bonds/jitters-over-ai-spending-set-to-grow-as-us-tech-giants-flood-bond-market/articleshow/125498854.cms,"Sat, 22 Nov 2025 09:20:34 +0530","Big tech firms are borrowing heavily to fund AI data centers. This surge in debt issuance is raising concerns about the bond market's capacity. While companies remain lightly leveraged now, the need for capital is shifting from cash to public bonds. Projections show AI capital expenditure will significantly increase, requiring substantial financing."
Wall Street indexes jump as rate cut bets increase but suffer losses for week,https://economictimes.indiatimes.com/markets/stocks/news/wall-street-indexes-jump-as-rate-cut-bets-increase-but-suffer-losses-for-week/articleshow/125498121.cms,"Sat, 22 Nov 2025 07:56:35 +0530","Indian markets surged Friday as traders anticipated a Federal Reserve interest rate cut next month, boosting sentiment. Despite weekly losses amid tech valuation worries, Nvidia saw a jump on potential China sales. Fed officials offered mixed signals on rate policy, creating market anticipation for the December meeting's outcome."
Banks fully implement SWIFT messaging norm,https://economictimes.indiatimes.com/markets/stocks/news/banks-fully-implement-swift-messaging-norm/articleshow/125498092.cms,"Sat, 22 Nov 2025 07:53:47 +0530",Indian banks have successfully adopted the new SWIFT ISO 20022 messaging standard. This achievement places them ahead of the global average. The Ministry of Finance and Reserve Bank of India drove this initiative. All Indian banks are now ready for cross-border payments under the new framework. This ensures smooth operations and avoids potential disruptions and penalties.
"Sebi plans overhaul of brokerage, MF rules in December board meeting",https://economictimes.indiatimes.com/markets/stocks/news/sebi-plans-overhaul-of-brokerage-mf-rules-in-december-board-meeting/articleshow/125498041.cms,"Sat, 22 Nov 2025 07:45:58 +0530","The Securities and Exchange Board of India (Sebi) is set to review its mutual fund and stock broker regulations next month. Key proposals include unbundling broking fees and updating stock broker rules, which were framed 30 years ago. Sebi aims to streamline compliance and enhance ease of doing business."
"Bharti Telecom plans Rs 9,000-crore bond sale to refinance debt",https://economictimes.indiatimes.com/markets/bonds/bharti-telecom-plans-rs-9000-crore-bond-sale-to-refinance-debt/articleshow/125498017.cms,"Sat, 22 Nov 2025 07:42:17 +0530","Bharti Telecom is set to raise between ₹8,500 and ₹9,000 crore through a bond sale. This move aims to refinance existing borrowings for the holding company of Bharti Airtel. The company plans to issue bonds with two and three-year maturities. This is a normal refinancing of maturing bonds. Institutional investors are expected to participate in the issue."
Sebi looking to include REITs in indices to improve liquidity: Chief,https://economictimes.indiatimes.com/markets/stocks/news/sebi-looking-to-include-reits-in-indices-to-improve-liquidity-chief/articleshow/125497959.cms,"Sat, 22 Nov 2025 07:37:27 +0530","The Securities and Exchange Board of India (Sebi) is considering including real estate investment trusts (REITs) in market indices to enhance liquidity and appeal. Sebi is also exploring ways to expand investment options for REITs and infrastructure investment trusts (InvITs), while working to boost investor awareness and participation in these nascent asset classes."
Valuation jitters in AI stocks drag Indian indices; volatility index spikes,https://economictimes.indiatimes.com/markets/stocks/news/valuation-jitters-in-ai-stocks-drag-indian-indices-volatility-index-spikes/articleshow/125497892.cms,"Sat, 22 Nov 2025 07:28:47 +0530","Indian stock markets saw a dip on Friday, following global trends. Concerns over technology stock valuations and potential US interest rate hikes impacted investor sentiment. Despite a cautious mood, analysts suggest the Nifty may soon reach new highs. Foreign investors were net sellers, while domestic investors bought shares. The market awaits clarity on the US-India trade deal."
Big tech's AI-fuelled debt binge raises risks,https://economictimes.indiatimes.com/markets/stocks/news/big-techs-ai-fuelled-debt-binge-raises-risks/articleshow/125497799.cms,"Sat, 22 Nov 2025 07:22:58 +0530","Big Tech firms are borrowing heavily to fund AI infrastructure. This shift from using cash reserves worries investors. The trend signals a new, riskier phase for AI. Companies with weaker finances are now involved. Interconnected deals create systemic risk. Valuations for major tech firms are also declining due to this unease."
"No anchor, rupee sinks to 89/dollar",https://economictimes.indiatimes.com/markets/forex/no-anchor-rupee-sinks-to-89/dollar/articleshow/125497736.cms,"Fri, 21 Nov 2025 23:26:27 +0530","In a dramatic trading session on Friday, the Indian Rupee fell to its lowest level ever against the US Dollar, breaching the 89 mark. This unexpected decline unfolded in the closing hour, with traders highlighting several issues: insufficient intervention from the Reserve Bank of India, delays in crucial trade agreements, and an increasing trade deficit."
Rupee weakens past the 89/$1 level for the first time as RBI stops intervening,https://economictimes.indiatimes.com/markets/forex/forex-news/rupee-weakens-past-the-89/1-level-for-the-first-time-as-rbi-stops-intervening/articleshow/125490596.cms,"Fri, 21 Nov 2025 21:55:19 +0530",The Indian Rupee reached an all-time low against the US Dollar on Friday. It crossed the significant 89 per dollar mark for the first time. Traders cited a lack of Reserve Bank of India intervention and a high trade deficit as key reasons. The currency experienced a sudden and sharp fall in the last hour of trading.
Robert Kiyosaki says the crash is here and his pick to survive it is silver,https://economictimes.indiatimes.com/markets/stocks/news/robert-kiyosaki-says-the-crash-is-here-and-his-pick-to-survive-it-is-silver/articleshow/125518246.cms,"Sun, 23 Nov 2025 15:31:57 +0530","Robert Kiyosaki, author of Rich Dad Poor Dad, has warned that the “biggest crash in history” has begun, affecting the U.S., Europe, and Asia. He advised investors to seek refuge in gold, silver, Bitcoin, and Ethereum, highlighting silver as his top pick. Kiyosaki said the crash he predicted in 2013 has now arrived."
20 crore Demat accounts and counting: Inside India’s retail investing transformation,https://economictimes.indiatimes.com/markets/stocks/news/20-crore-demat-accounts-and-counting-inside-indias-retail-investing-transformation/articleshow/125517942.cms,"Sun, 23 Nov 2025 14:50:24 +0530","In 2025, India’s retail investing landscape transformed dramatically, with demat accounts nearing 21 crore and monthly SIP contributions crossing Rs. 29,500 crore. Technology, geographic expansion, and domestic investor confidence drove participation, even amid foreign outflows and market volatility. Despite derivative losses and global uncertainties, regulatory reforms and increased financial literacy strengthened the ecosystem, marking a pivotal year for long-term wealth creation and the ""Equitization of Savings"""
Global oil prices under pressure: What’s driving the decline and what lies ahead,https://economictimes.indiatimes.com/markets/stocks/news/global-oil-prices-under-pressure-whats-driving-the-decline-and-what-lies-ahead/articleshow/125517638.cms,"Sun, 23 Nov 2025 14:14:04 +0530","Global oil markets have entered a bearish phase, with U.S. crude sliding below $60 per barrel, down over 20% from January highs. Surging U.S. output, gradual unwinding of OPEC+ cuts, and tepid demand—especially in China—have created persistent oversupply. With inventories at multi-year highs, near-term prices are expected to remain under pressure, while structural factors cap any sustained rallies in 2026.Global oil markets have entered a bearish phase, with U.S. crude sliding below $60 per barrel, down over 20% from January highs. Surging U.S. output, gradual unwinding of OPEC+ cuts, and tepid demand—especially in China—have created persistent oversupply. With inventories at multi-year highs, near-term prices are expected to remain under pressure, while structural factors cap any sustained rallies in 2026"
"Mcap of 7 of top-10 most valued firms surges Rs 1.28 lakh cr; RIL, Airtel biggest gainers",https://economictimes.indiatimes.com/markets/stocks/news/mcap-of-7-of-top-10-most-valued-firms-surges-rs-1-28-lakh-cr-ril-airtel-biggest-gainers/articleshow/125517544.cms,"Sun, 23 Nov 2025 13:53:05 +0530","While Reliance Industries, HDFC Bank, Bharti Airtel, Tata Consultancy Services (TCS), State Bank of India, Infosys and Hindustan Unilever were the gainers, Bajaj Finance, Life Insurance Corporation of India (LIC) and ICICI Bank faced erosion in their valuation"
